HARPNUM,file_name,label
1,hmi.sharp_cea_720s.1.20100502_060000_TAI,0
1,hmi.sharp_cea_720s.1.20100503_080000_TAI,0
1,hmi.sharp_cea_720s.1.20100504_080000_TAI,0
1,hmi.sharp_cea_720s.1.20100505_080000_TAI,0
1,hmi.sharp_cea_720s.1.20100506_080000_TAI,0
1,hmi.sharp_cea_720s.1.20100507_080000_TAI,0
1,hmi.sharp_cea_720s.1.20100508_080000_TAI,0
1,hmi.sharp_cea_720s.1.20100509_080000_TAI,0
1,hmi.sharp_cea_720s.1.20100510_080000_TAI,0
1,hmi.sharp_cea_720s.1.20100511_050000_TAI,0
2,hmi.sharp_cea_720s.2.20100501_080000_TAI,0
2,hmi.sharp_cea_720s.2.20100502_080000_TAI,0
2,hmi.sharp_cea_720s.2.20100503_080000_TAI,0
2,hmi.sharp_cea_720s.2.20100504_080000_TAI,0
2,hmi.sharp_cea_720s.2.20100505_000000_TAI,0
5,hmi.sharp_cea_720s.5.20100501_080000_TAI,0
5,hmi.sharp_cea_720s.5.20100502_150000_TAI,0
5,hmi.sharp_cea_720s.5.20100503_050000_TAI,0
6,hmi.sharp_cea_720s.6.20100501_080000_TAI,0
6,hmi.sharp_cea_720s.6.20100502_080000_TAI,0
6,hmi.sharp_cea_720s.6.20100503_080000_TAI,0
6,hmi.sharp_cea_720s.6.20100504_150000_TAI,0
6,hmi.sharp_cea_720s.6.20100505_020000_TAI,0
8,hmi.sharp_cea_720s.8.20100502_220000_TAI,0
8,hmi.sharp_cea_720s.8.20100503_080000_TAI,0
8,hmi.sharp_cea_720s.8.20100504_080000_TAI,0
8,hmi.sharp_cea_720s.8.20100505_080000_TAI,0
8,hmi.sharp_cea_720s.8.20100506_150000_TAI,0
10,hmi.sharp_cea_720s.10.20100503_080000_TAI,0
10,hmi.sharp_cea_720s.10.20100504_080000_TAI,0
10,hmi.sharp_cea_720s.10.20100505_080000_TAI,0
10,hmi.sharp_cea_720s.10.20100506_000000_TAI,0
10,hmi.sharp_cea_720s.10.20100507_050000_TAI,0
11,hmi.sharp_cea_720s.11.20100503_050000_TAI,0
11,hmi.sharp_cea_720s.11.20100504_000000_TAI,0
12,hmi.sharp_cea_720s.12.20100505_050000_TAI,0
12,hmi.sharp_cea_720s.12.20100506_080000_TAI,0
12,hmi.sharp_cea_720s.12.20100507_080000_TAI,0
12,hmi.sharp_cea_720s.12.20100508_080000_TAI,0
12,hmi.sharp_cea_720s.12.20100509_080000_TAI,0
12,hmi.sharp_cea_720s.12.20100510_080000_TAI,0
12,hmi.sharp_cea_720s.12.20100511_080000_TAI,0
12,hmi.sharp_cea_720s.12.20100512_080000_TAI,0
12,hmi.sharp_cea_720s.12.20100513_010000_TAI,0
14,hmi.sharp_cea_720s.14.20100505_040000_TAI,0
14,hmi.sharp_cea_720s.14.20100506_000000_TAI,0
15,hmi.sharp_cea_720s.15.20100505_130000_TAI,0
16,hmi.sharp_cea_720s.16.20100505_170000_TAI,0
16,hmi.sharp_cea_720s.16.20100506_110000_TAI,0
17,hmi.sharp_cea_720s.17.20100506_170000_TAI,0
17,hmi.sharp_cea_720s.17.20100507_160000_TAI,0
17,hmi.sharp_cea_720s.17.20100508_080000_TAI,0
17,hmi.sharp_cea_720s.17.20100509_000000_TAI,0
19,hmi.sharp_cea_720s.19.20100512_180000_TAI,0
19,hmi.sharp_cea_720s.19.20100513_000000_TAI,0
19,hmi.sharp_cea_720s.19.20100514_220000_TAI,0
19,hmi.sharp_cea_720s.19.20100515_000000_TAI,0
20,hmi.sharp_cea_720s.20.20100513_080000_TAI,0
20,hmi.sharp_cea_720s.20.20100514_080000_TAI,0
20,hmi.sharp_cea_720s.20.20100515_100000_TAI,0
23,hmi.sharp_cea_720s.23.20100519_020000_TAI,0
23,hmi.sharp_cea_720s.23.20100520_000000_TAI,0
23,hmi.sharp_cea_720s.23.20100521_000000_TAI,0
23,hmi.sharp_cea_720s.23.20100522_180000_TAI,0
23,hmi.sharp_cea_720s.23.20100523_080000_TAI,0
23,hmi.sharp_cea_720s.23.20100524_070000_TAI,0
24,hmi.sharp_cea_720s.24.20100519_030000_TAI,0
24,hmi.sharp_cea_720s.24.20100520_080000_TAI,0
24,hmi.sharp_cea_720s.24.20100521_080000_TAI,0
24,hmi.sharp_cea_720s.24.20100522_080000_TAI,0
24,hmi.sharp_cea_720s.24.20100523_080000_TAI,0
24,hmi.sharp_cea_720s.24.20100524_080000_TAI,0
24,hmi.sharp_cea_720s.24.20100525_080000_TAI,0
24,hmi.sharp_cea_720s.24.20100526_100000_TAI,0
25,hmi.sharp_cea_720s.25.20100519_050000_TAI,0
25,hmi.sharp_cea_720s.25.20100520_080000_TAI,0
25,hmi.sharp_cea_720s.25.20100521_080000_TAI,0
25,hmi.sharp_cea_720s.25.20100522_080000_TAI,0
25,hmi.sharp_cea_720s.25.20100523_080000_TAI,0
25,hmi.sharp_cea_720s.25.20100524_080000_TAI,0
25,hmi.sharp_cea_720s.25.20100525_000000_TAI,0
25,hmi.sharp_cea_720s.25.20100526_000000_TAI,0
26,hmi.sharp_cea_720s.26.20100520_170000_TAI,0
26,hmi.sharp_cea_720s.26.20100521_080000_TAI,0
26,hmi.sharp_cea_720s.26.20100522_080000_TAI,0
26,hmi.sharp_cea_720s.26.20100523_080000_TAI,0
26,hmi.sharp_cea_720s.26.20100524_080000_TAI,0
26,hmi.sharp_cea_720s.26.20100525_080000_TAI,0
26,hmi.sharp_cea_720s.26.20100526_080000_TAI,0
26,hmi.sharp_cea_720s.26.20100527_000000_TAI,0
29,hmi.sharp_cea_720s.29.20100522_220000_TAI,0
29,hmi.sharp_cea_720s.29.20100523_040000_TAI,0
32,hmi.sharp_cea_720s.32.20100523_020000_TAI,0
32,hmi.sharp_cea_720s.32.20100524_080000_TAI,0
32,hmi.sharp_cea_720s.32.20100525_080000_TAI,0
32,hmi.sharp_cea_720s.32.20100526_080000_TAI,0
32,hmi.sharp_cea_720s.32.20100527_000000_TAI,0
32,hmi.sharp_cea_720s.32.20100528_080000_TAI,0
32,hmi.sharp_cea_720s.32.20100529_110000_TAI,0
36,hmi.sharp_cea_720s.36.20100525_030000_TAI,0
36,hmi.sharp_cea_720s.36.20100526_080000_TAI,0
36,hmi.sharp_cea_720s.36.20100527_000000_TAI,0
36,hmi.sharp_cea_720s.36.20100528_080000_TAI,0
36,hmi.sharp_cea_720s.36.20100529_080000_TAI,0
36,hmi.sharp_cea_720s.36.20100530_080000_TAI,0
36,hmi.sharp_cea_720s.36.20100531_000000_TAI,0
36,hmi.sharp_cea_720s.36.20100601_000000_TAI,0
37,hmi.sharp_cea_720s.37.20100525_040000_TAI,0
37,hmi.sharp_cea_720s.37.20100526_080000_TAI,0
37,hmi.sharp_cea_720s.37.20100527_000000_TAI,0
37,hmi.sharp_cea_720s.37.20100528_080000_TAI,0
37,hmi.sharp_cea_720s.37.20100529_000000_TAI,0
37,hmi.sharp_cea_720s.37.20100530_000000_TAI,0
37,hmi.sharp_cea_720s.37.20100531_140000_TAI,0
38,hmi.sharp_cea_720s.38.20100527_170000_TAI,0
38,hmi.sharp_cea_720s.38.20100528_080000_TAI,0
38,hmi.sharp_cea_720s.38.20100529_080000_TAI,0
38,hmi.sharp_cea_720s.38.20100530_080000_TAI,0
38,hmi.sharp_cea_720s.38.20100531_080000_TAI,0
38,hmi.sharp_cea_720s.38.20100601_080000_TAI,0
38,hmi.sharp_cea_720s.38.20100602_080000_TAI,0
38,hmi.sharp_cea_720s.38.20100603_080000_TAI,0
38,hmi.sharp_cea_720s.38.20100604_080000_TAI,0
38,hmi.sharp_cea_720s.38.20100605_100000_TAI,0
39,hmi.sharp_cea_720s.39.20100526_180000_TAI,0
39,hmi.sharp_cea_720s.39.20100527_010000_TAI,0
40,hmi.sharp_cea_720s.40.20100529_080000_TAI,0
40,hmi.sharp_cea_720s.40.20100530_080000_TAI,0
40,hmi.sharp_cea_720s.40.20100531_080000_TAI,0
40,hmi.sharp_cea_720s.40.20100601_080000_TAI,0
40,hmi.sharp_cea_720s.40.20100602_080000_TAI,0
40,hmi.sharp_cea_720s.40.20100603_110000_TAI,0
41,hmi.sharp_cea_720s.41.20100529_160000_TAI,0
41,hmi.sharp_cea_720s.41.20100530_110000_TAI,0
43,hmi.sharp_cea_720s.43.20100531_050000_TAI,0
43,hmi.sharp_cea_720s.43.20100601_080000_TAI,0
43,hmi.sharp_cea_720s.43.20100602_080000_TAI,0
43,hmi.sharp_cea_720s.43.20100603_080000_TAI,0
43,hmi.sharp_cea_720s.43.20100604_080000_TAI,0
43,hmi.sharp_cea_720s.43.20100605_080000_TAI,0
43,hmi.sharp_cea_720s.43.20100606_000000_TAI,0
44,hmi.sharp_cea_720s.44.20100601_040000_TAI,0
44,hmi.sharp_cea_720s.44.20100602_080000_TAI,0
44,hmi.sharp_cea_720s.44.20100603_010000_TAI,0
45,hmi.sharp_cea_720s.45.20100602_180000_TAI,0
45,hmi.sharp_cea_720s.45.20100603_080000_TAI,0
45,hmi.sharp_cea_720s.45.20100604_080000_TAI,0
45,hmi.sharp_cea_720s.45.20100605_080000_TAI,0
45,hmi.sharp_cea_720s.45.20100606_150000_TAI,0
45,hmi.sharp_cea_720s.45.20100607_000000_TAI,0
46,hmi.sharp_cea_720s.46.20100602_210000_TAI,0
46,hmi.sharp_cea_720s.46.20100603_080000_TAI,0
46,hmi.sharp_cea_720s.46.20100604_080000_TAI,0
46,hmi.sharp_cea_720s.46.20100605_080000_TAI,0
46,hmi.sharp_cea_720s.46.20100606_000000_TAI,0
46,hmi.sharp_cea_720s.46.20100607_010000_TAI,0
46,hmi.sharp_cea_720s.46.20100608_080000_TAI,0
46,hmi.sharp_cea_720s.46.20100609_080000_TAI,0
46,hmi.sharp_cea_720s.46.20100610_000000_TAI,0
47,hmi.sharp_cea_720s.47.20100607_070000_TAI,0
47,hmi.sharp_cea_720s.47.20100608_080000_TAI,0
47,hmi.sharp_cea_720s.47.20100609_080000_TAI,0
47,hmi.sharp_cea_720s.47.20100610_050000_TAI,0
49,hmi.sharp_cea_720s.49.20100609_080000_TAI,0
49,hmi.sharp_cea_720s.49.20100610_150000_TAI,0
49,hmi.sharp_cea_720s.49.20100611_050000_TAI,0
49,hmi.sharp_cea_720s.49.20100612_000000_TAI,0
50,hmi.sharp_cea_720s.50.20100609_150000_TAI,0
51,hmi.sharp_cea_720s.51.20100610_020000_TAI,0
51,hmi.sharp_cea_720s.51.20100611_010000_TAI,0
51,hmi.sharp_cea_720s.51.20100611_040000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_050000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_060000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_070000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_080000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_090000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_100000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_110000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_120000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_130000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_140000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_150000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_160000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_170000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_180000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_190000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_200000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_210000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_220000_TAI,1
51,hmi.sharp_cea_720s.51.20100611_230000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_000000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_010000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_020000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_030000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_050000_TAI,0
51,hmi.sharp_cea_720s.51.20100612_080000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_090000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_100000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_110000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_120000_TAI,1
51,hmi.sharp_cea_720s.51.20100612_130000_TAI,1
53,hmi.sharp_cea_720s.53.20100610_050000_TAI,0
54,hmi.sharp_cea_720s.54.20100611_070000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_080000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_090000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_100000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_110000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_120000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_130000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_140000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_150000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_160000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_170000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_180000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_190000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_200000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_210000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_220000_TAI,1
54,hmi.sharp_cea_720s.54.20100611_230000_TAI,1
54,hmi.sharp_cea_720s.54.20100612_000000_TAI,1
54,hmi.sharp_cea_720s.54.20100612_010000_TAI,1
54,hmi.sharp_cea_720s.54.20100612_020000_TAI,1
54,hmi.sharp_cea_720s.54.20100612_030000_TAI,1
